business_id,google_place_id
9f77c9b5-5188-43a0-8c81-dfe6fd7c1b7f,ChIJyUCJHx0HdkgRsOJ2vi9CEgw
a12b0740-b301-4c86-a0ef-efd2b053153a,ChIJt_fIWY0NdkgR-T_5zYWcBWo
a1d118ed-6c21-4383-82f0-76bd4ca682d5,ChIJ5RsqWCWp2EcRn5ZF1-9fxeA
a51124c9-b8b9-48ee-a2c6-71c24d414aa5,ChIJyxp7wbURdkgRgBU1iXEcDb0
a7705641-bc26-40b5-92a1-9b863dedbc36,ChIJ-d_7lPe92EcReFBYHWOpjgM
a805497c-6812-4834-b5f1-a5d6b191f626,ChIJTWZ9FQABdkgRuIsjmNmRoRU
a9f7ac8e-a5e9-4b09-be46-c488cdf25616,ChIJzYCcx0EbdkgRpnccWQdmCmA
aa51f0b6-60ba-4b76-b712-41d3efea723c,ChIJ_d4Dg8UJdkgRmnX-SZ3NMxk
aaa08779-c711-4bba-b127-bdbc783b185f,ChIJW9QC9ugFdkgR6-anbgNxY5o
aab99e5d-eb7b-4dcb-a339-b9aed19d4085,ChIJ_f4qpksYdkgRz0xU4AD838Y
aaca2d72-83f4-4e7d-90f0-9a0cd7c8381d,ChIJ-xJErXoJdkgRupGdFAoPvWs
acc20694-323e-4e06-afb2-b8fd36afae70,ChIJ31f9IJEXdkgRlOWuGKBifNY
ad7ea0c3-c3e3-4d5c-a265-c756f297ce54,ChIJxXZK8m1rdkgRkm1lia0MMJ8
ae6e7d31-02e2-465f-b7e8-ee6d6b891371,ChIJO_tpGxKp2EcRVL4VpSbye1Q
ae949db7-12c5-4d18-af63-220bda3760c0,ChIJ38H7Adql2EcRBEWxJK49dYU
b129ed63-00f1-4846-aca4-9312c2c3a509,ChIJwYEbKWEbdkgR317o8fi9pD0
b147a214-87aa-4b9e-9d72-b3dac2b4a012,ChIJ7S_q5FIbdkgRUJbLAhMlj44
b1629ed6-155d-4138-978d-24739b3cd1f7,ChIJR8EU2usBdkgRK2cQOMFQBD4
b2eccaa1-9fcc-4f3f-95b0-66a21f99666d,ChIJQQZJLp8ddkgRKqj8pau8vow
b378ff5e-d291-4d07-9ec6-7eb78c44f6a2,ChIJP4SthsoFdkgRisKxE7GOaL0
b3a6aafd-8123-4713-b6e0-97222bb301e0,ChIJVaZfXH672EcRW3Ffo5_RNCk
b3a7306e-3ef5-4b03-a59e-251dfe129252,ChIJ14iLWeQHdkgRbiCn71w_cFs
b46b5298-db65-44be-a35d-7552d8fe7661,ChIJYaWCTQhV30cRjyA3r3C6W18
b4f17f93-5857-45a5-b15f-0b65cfa07587,ChIJ1zUq_7cJdkgR2xuOO2RUNA4
b5334f68-06cd-48bb-af1d-6d0b712e6590,ChIJpYdIaQAFdkgRlOuIc4qrdW0
b5cdaa12-0e12-4a2e-a9ee-47e45146a6d0,ChIJpYdIaQAFdkgRlOuIc4qrdW0
b99a977b-acd0-4d17-89c6-09f71ab562a7,ChIJE6cG-liv2EcRqd_ugL-q-UQ
bbdfb391-dd7f-4859-b617-73b3efb22c77,ChIJEdlVcNnhdUgR1aJY3aeBzzQ
bbf07714-fa26-412e-a195-ad71b4048a6a,ChIJ1Ul0QvSu2EcR8whwEa1E7CY
bcb6496f-3c6b-4bc4-8ca1-4542ec6235c3,ChIJwZ-hF00HdkgRe2Jd-h7w6l0
bcf96e1e-87b6-47d9-808f-8f9ebe4e623f,ChIJ7cQzbPAHdkgRlDbNUPiM88o
be21331f-06f1-41d8-ba28-ee7336b50df0,ChIJgU4Xbtir2EcRkfrF3WpuK7w
bedd4964-d2cf-479a-9b7a-2bd8e6953d40,ChIJB5IKU4wOdkgR-SW6flcCkno
bfa03c0c-4256-4918-a725-ea7feb26607a,ChIJI59GiMkRdkgR8UWUKNqHOco
c041a502-829c-4d4e-8fef-e330ce37973c,ChIJiUEwJoql2EcRk4hny_Pl8SU
c08dc884-ff9e-4ac6-892b-11bca0461c31,ChIJK8Rv-50MdkgRYhZ63suznS4
c2d33313-daed-4aa5-893c-dbd7b2334661,ChIJw4TT0Ryn2EcR1buPukF4M1o
c310c60d-8367-47d4-a8a8-7328c057ac44,ChIJq6pj85EXdkgRtgPV-dOf1HY
c4562d56-df8e-4006-ba52-011d99801afb,ChIJR-euLRwTdkgRXnSJHIgJbUU
c4ca5b46-46b2-4b10-bb2a-9d20f65a2d20,ChIJG0eeZ1aq2EcRiy5YAoCGDUo
c4d50bc4-10bc-4598-851c-387a92e44b55,ChIJTZi9WLdtdkgRAxVCaSGPVMU
c5616d93-ff9b-4922-99d6-0e648931e11b,ChIJ6YHUGwC92EcRjm3kjQSYCPk
c61a5c5a-701f-4b35-a4c4-641d351159be,ChIJBQ_3n4QBdkgRpZGSWTp_qJA
c8c91cd1-17fe-4ac6-991b-6024fa1e87fd,ChIJDQ7OWUWx2EcRJcKtwzU0kAg
caee2f3b-8329-4d8f-af76-81de44899614,ChIJNcBf4npmpC4Ru9JcKqXVyMI
cd02bc9a-31f5-4cc9-bfe3-b3a02b9edec7,ChIJyRUghAoFdkgR4BcqlBVgD_0
cd431af6-5df3-44df-a82f-4c795a942429,ChIJUS5E5I4OdkgR_rBcBhwzXXk
cd83427c-9eed-4e7e-ab13-f84b7bbcf52f,ChIJzwkYNk-v2EcRyAJgBduGFQk
ce1e7d06-51bd-47ae-b2c9-ed57ed48b8d2,ChIJ4aAad9Sr2EcRKM4DH1S20kY
